ID,quality_score,Owner,Country_of_Origin,Farm_Name,Company,Region,Producer,Number_of_Bags,Bag_Weight,In-Country_Partner,Harvest_Year,Grading_Date,Variety,Status,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,Expiration,Certification_Body,Certification_Address,Certification_Contact,Altitude_Units,Lower_Altitude,Upper_Altitude
148,84.58,Juan Luis Alvarado Romero,Guatemala,EL MORITO,"Armajaro Guatemala, S. A.",JALAPA,ROBERTO MONTERROSO,250,69.0,Asociacion Nacional Del Café,2014,"May 29th, 2014",Pacas,Completed,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,Sample  84.58,11 %,0 full defects,0.0,Green,1 full defects,"May 29th, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,5000,
149,84.58,Juan Luis Alvarado Romero,Guatemala,EL PAPATURRO,"UNEX (GUATEMALA), S.A.",ORIENTE,AMILCAR LAPOLA,250,69.0,Asociacion Nacional Del Café,2014,"March 24th, 2014",Bourbon,Completed,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,Sample  84.58,9 %,0 full defects,0.0,Green,0 full defects,"March 24th, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,4000,
150,84.58,Compañia Colombiana Agroindustrial S.A,Colombia,,ecom cca sa,Santander,,250,70.0,Almacafé,2013,"December 20th, 2013",Caturra,Completed,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,10.0,7.83,Sample  84.58,0 %,0 full defects,0.0,,0 full defects,"December 20th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1550,
151,84.58,Racafe & Cia S.C.A,Colombia,,Racafe & Cia S.C.A,Huila,La Plata,75,70.0,Almacafé,2013,"December 6th, 2013",Caturra,Completed,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,7.92,Sample  84.58,0 %,0 full defects,0.0,,5 full defects,"December 6th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,,
152,84.58,Taylor Winch (Coffee) Ltd.,Kenya,,Taylor Winch (Coffee) Ltd.,,changeru wet mill,11,660.0,Kenya Coffee Traders Association,2013,"August 30th, 2013",SL28,Completed,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,7.75,Sample  84.58,0 %,0 full defects,0.0,Green,0 full defects,"August 30th, 2014",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,,,
153,84.58,Exportadora de Cafe Condor S.A,Colombia,,Exportadora de Cafe Condor S.A,Huila,,250,70.0,Almacafé,2012,"July 17th, 2013",Caturra,Completed,Washed / Wet,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,Sample  84.58,0 %,0 full defects,0.0,Green,2 full defects,"July 17th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1750,
154,84.58,LUSSO LAB,Costa Rica,La Chaparral,LUSSO COFFEE LAB,Tres Rios,,1,1.0,Specialty Coffee Association,2012,"March 12th, 2013",Bourbon,Completed,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,Sample  84.58,12 %,0 full defects,0.0,Bluish-Green,2 full defects,"March 12th, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,,
155,84.58,Exportadora de Cafe Condor S.A,Colombia,varias,Exportadora de Cafe Condor S.A,huila,varios,250,70.0,Almacafé,2012,"October 9th, 2012",Caturra,Completed,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,Sample  84.58,11 %,0 full defects,0.0,Green,6 full defects,"October 9th, 2013",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1800,
156,84.58,NUCOFFEE,Brazil,Fazenda Recreio,NUCOFFEE,Vale da Grama,Homero Texeira de Macedo Junior,37,60.0,NUCOFFEE,2011,"December 23rd, 2011",Bourbon,Completed,Semi-washed / Semi-pulped,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,Sample  84.58,12 %,0 full defects,0.0,Green,2 full defects,"December 22nd, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,meters,1300,
157,84.58,NUCOFFEE,Brazil,Fazenda Vista Alegre,NUCOFFEE,Mountains of Minas Gerais,Geraldo Paixão,35,60.0,NUCOFFEE,2011,"December 3rd, 2011",Catuai,Completed,Semi-washed / Semi-pulped,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,Sample  84.58,11 %,0 full defects,0.0,Blue-Green,1 full defects,"December 2nd, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,meters,1100,
158,84.5,Max Gurdian,Costa Rica,,Beneficios Volcafé Costa Rica,Valle Central,Various,275,18975.0,Specialty Coffee Association of Costa Rica,,"November 28th, 2017",Caturra,Completed,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,Sample  84.50,10 %,0 full defects,0.0,Bluish-Green,2 full defects,"November 28th, 2018",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,meters,1200,
159,84.5,ECOM Japan Limited,Uganda,Kawacom Sipi Project,Kawacom uganda LTD,Eastern Uganda,Kawacom Uganda Ltd,200,12000.0,Uganda Coffee Development Authority,2016,"March 14th, 2017",SL14,Completed,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,Sample  84.50,11 %,0 full defects,0.0,Green,1 full defects,"March 14th, 2018",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,meters,1750,
160,84.5,Yunnan Coffee Exchange,China,Menglian Ban’an Coffee Processing Factory,Yunnan Coffee Exchange,Yunnan Province Pu'er City Menglian County,Menglian Ban’an Coffee Processing Factory,3,60.0,Yunnan Coffee Exchange,2015,"April 6th, 2016",Catimor,Completed,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,Sample  84.50,10 %,0 full defects,0.0,Green,1 full defects,"April 6th, 2017",Yunnan Coffee Exchange,"Warehouse of YCE, Chuangye Road, Munaihe Industrial Park, Pu'er Yunnan Province 665000",Zooey Li - +8608792891121,meters,1680,
161,84.5,Fabian Calderon Mora,Costa Rica,Coopetarrazú,Coopetarrazú.R.L,Tarrazú,Coopetarrazú,250,0.453592,Specialty Coffee Association of Costa Rica,2014,"July 6th, 2015",Caturra,Completed,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,Sample  84.50,11 %,0 full defects,0.0,Green,0 full defects,"July 5th, 2016",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,meters,1700,
162,84.5,Federacion Nacional de Cafeteros,Colombia,,Federacion Nacional de Cafeteros,Cauca,,275,2.0,Almacafé,,"June 5th, 2015",Other,Completed,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,Sample  84.50,12 %,1 full defects,0.0,Green,0 full defects,"June 4th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1800,
163,84.5,Eric Wu,China,"PUER JIANGCHENG FUWANG COFFEE BIOTECHNOLOGY CO., LTD","PUER JIANGCHENG FUWANG COFFEE BIOTECHNOLOGY CO., LTD","Pu'er City, Yunnan, China","PUER JIANGCHENG FUWANG COFFEE BIOTECHNOLOGY CO., LTD",1,2.0,Specialty Coffee Association,2013,"June 16th, 2014",Other,Completed,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,Sample  84.50,0 %,0 full defects,0.0,Green,2 full defects,"June 16th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1100,
164,84.5,Juan Luis Alvarado Romero,Guatemala,EL SACRAMENTO,"UNEX (GUATEMALA),S.A",ORIENTE,LUIS RODRIGUEZ,250,69.0,Asociacion Nacional Del Café,2013,"February 26th, 2013",Bourbon,Completed,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,Sample  84.50,11 %,0 full defects,0.0,Green,2 full defects,"February 26th, 2014",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,4300,
165,84.5,Dream Together,Kenya,Rumukia Farmers,Dream together Co. Ltd,"Nyeri province, Kenya",,235,60.0,Specialty Coffee Institute of Asia,2012,"September 16th, 2012",SL28,Completed,Washed / Wet,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,Sample  84.50,11 %,0 full defects,0.0,Blue-Green,0 full defects,"September 16th, 2013",Specialty Coffee Institute of Asia,"3F, 259-1 Ulgiro-3-ga, Joong-gu, Seoul, South Korea, Zip code:100-847","Sung-Yong Steven Kil - 82-10-7912-1456-English, 82-2269-1456-Korean",meters,2000,
166,84.5,MARIA IMELDA USCANGA MARTINEZ,Mexico,LA BARRANCA,,HUSTUSCO,MARIA IMELDA USCANGA MARTINEZ,56,1.0,AMECAFE,2012,"July 11th, 2012",Typica,Completed,Washed / Wet,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,Sample  84.50,12 %,0 full defects,0.0,Green,0 full defects,"July 11th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1350,
167,84.5,ALFREDO BOJALIL,Mexico,FINCA EL RETIRO,ECOMTRADING,JALTENANGO,SANTIAGO JOSE ARGUELLO CAMPOS,250,1.0,AMECAFE,2012,"June 6th, 2012",Typica,Completed,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.67,Sample  84.50,11 %,0 full defects,0.0,,4 full defects,"June 6th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1500,
168,84.5,Juan Luis Alvarado Romero,Guatemala,NUEVA GRANADA,"TRANSCAFE, S.A","EL TUMBADOR, SAN MARCOS","AGRICOLA NUEVA GRANADA, S.A",250,69.0,Asociacion Nacional Del Café,2012,"February 16th, 2012",Bourbon,Completed,Washed / Wet,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,7.83,Sample  84.50,11 %,0 full defects,0.0,Green,2 full defects,"February 15th, 2013",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,
169,84.5,Daniel Friedlander,Brazil,,,mmm,mmm,27,60.0,NUCOFFEE,,"March 23rd, 2011",,Completed,,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,10.0,8.13,Sample  84.50,0 %,0 full defects,0.0,,4 full defects,"March 22nd, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,meters,,
170,84.5,Alexandra Katona-Carroll,Brazil,,,TEST,,320,60.0,NUCOFFEE,,"March 22nd, 2011",,Completed,,8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,Sample  84.50,0 %,2 full defects,0.0,,0 full defects,"March 21st, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,,,
171,84.42,Max Gurdian,Costa Rica,Several Farmers,Beneficios Volcafé Costa Rica,Tarrazu,Beneficio San Diego,275,69.0,Specialty Coffee Association of Costa Rica,2016,"March 23rd, 2017",Caturra,Completed,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,Sample  84.42,10 %,0 full defects,0.0,Blue-Green,3 full defects,"March 23rd, 2018",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,meters,1300,
172,84.42,Aulia Arif Syahri,Indonesia,Darmawi,PT. Olam Indonesia,Sumatra Brastagi - Indonesia,Surbakti,200,30.0,Specialty Coffee Association,2017,"March 14th, 2017",Mandheling,Completed,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8.0,Sample  84.42,0 %,0 full defects,0.0,Blue-Green,3 full defects,"March 14th, 2018",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1400,
173,84.42,CARCAFE LTDA CI,Colombia,,CARCAFE LTDA,Pitalito-Huila,FRANKLIN DUSSAN,304,35.0,Almacafé,,"January 25th, 2016",Caturra,Completed,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,7.67,Sample  84.42,0 %,0 full defects,0.0,Green,1 full defects,"January 24th, 2017",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,
174,84.42,Racafe & Cia S.C.A,Colombia,,Racafe & Cia S.C.A,Huila,La Plata,275,70.0,Almacafé,2014,"July 9th, 2014",Caturra,Completed,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,Sample  84.42,0 %,0 full defects,0.0,Green,3 full defects,"July 9th, 2015",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,,
175,84.42,Kao Ming Lee,Taiwan,Tropica Galliard,Tropica Galliard,"Mountain Ali, Taiwan",Kao Ming Lee,2,2.0,Specialty Coffee Association,2012,"July 10th, 2013",Typica,Completed,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,Sample  84.42,11 %,0 full defects,0.0,Blue-Green,0 full defects,"July 10th, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1200,
176,84.42,Kona Pacific Farmers Cooperative,United States (Hawaii),,Kona Pacific Farmers Cooperative,KONA,,5,45.3592,Specialty Coffee Association,2012,"January 21st, 2013",Hawaiian Kona,Completed,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,7.83,Sample  84.42,11 %,0 full defects,0.0,Blue-Green,1 full defects,"January 21st, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
177,84.42,MARIA AMALIA GUADALUPE TORIELLO ELORZA,Mexico,FINCA LA CHIRIPA,Finca Hamburgo,TAPACHULA,MARIA AMALIA GUADALUPE TORIELLO ELORZA,69,1.0,AMECAFE,2012,"June 6th, 2012",Pacamara,Completed,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,10.0,7.83,Sample  84.42,12 %,2 full defects,0.0,,4 full defects,"June 6th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,900,
178,84.42,Ethiopia Commodity Exchange,Ethiopia,Phone Number | 0911-513824 email: gmt.ft,,Limu,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",360,6.0,Ethiopia Commodity Exchange,,"June 17th, 2010",,Completed,,7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,10.0,7.75,Sample  84.42,20 %,0 full defects,0.0,,2 full defects,"June 17th, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,,
179,84.33,Lydiah Mwangi,Kenya,Kigwandi,C. Dorman limited,Nyeri,mutheka,150,60.0,Kenya Coffee Traders Association,,"August 3rd, 2017",SL28,Completed,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,Sample  84.33,11 %,0 full defects,0.0,Green,4 full defects,"August 3rd, 2018",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,meters,1800,
180,84.33,Bismarck Castro,Honduras,Las Cuchillas,CIGRAH S.A DE C.V,Comayagua,Nahun Maldonado,275,66.0,Instituto Hondureño del Café,2016,"May 11th, 2017",Caturra,Completed,,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.58,Sample  84.33,10 %,0 full defects,0.0,Green,3 full defects,"May 11th, 2018",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,meters,1500,
181,84.33,Raúl Vargas,Colombia,,SKN CARIBECAFE LTDA,Huila,,275,70.0,Almacafé,2016,"February 20th, 2017",Caturra,Completed,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,7.5,Sample  84.33,0 %,0 full defects,3.0,Green,5 full defects,"February 20th, 2018",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,
182,84.33,Bismarck Castro,Honduras,Los Hicaques,CIGRAH S.A DE C.V,Central Region,Reinerio Zepeda,275,69.0,Instituto Hondureño del Café,2016,"April 4th, 2016",Catuai,Completed,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,Sample  84.33,11 %,0 full defects,1.0,Green,2 full defects,"April 4th, 2017",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,meters,1500,
183,84.33,Racafe & Cia S.C.A,Colombia,,Racafe & Cia S.C.A,La Plata,,275,70.0,Almacafé,2016,"February 16th, 2016",,Completed,,7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.83,Sample  84.33,0 %,0 full defects,2.0,,4 full defects,"February 15th, 2017",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,
184,84.33,CARCAFE LTDA CI,Colombia,,CARCAFE LTDA,HUILA,FRANKLIN DUSSAN / ANDRES RODRIGUEZ/HIPOLITO TORRES,250,70.0,Almacafé,2015,"April 29th, 2015",Caturra,Completed,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,Sample  84.33,11 %,6 full defects,0.0,Green,0 full defects,"April 28th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,,
185,84.33,Exportadora de Cafe Condor S.A,Colombia,,Exportadora de Cafe Condor S.A,huila,,275,70.0,Almacafé,2013,"July 19th, 2013",Caturra,Completed,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,Sample  84.33,0 %,0 full defects,0.0,Green,0 full defects,"July 19th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1800,
186,84.33,VICTOR HUGO MELCHOR CORDOVA,Mexico,LA DISTANCIA,,TUXTLA GUTIERREZ,VICTOR HUGO MELCHOR CORDOVA,100,80.0,AMECAFE,2012,"July 27th, 2012",Typica,Completed,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,Sample  84.33,12 %,0 full defects,0.0,Blue-Green,1 full defects,"July 27th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1700,
187,84.33,NUCOFFEE,Brazil,Santa Alina,,Vale da Grama,Lucia Maria da Silva Dias,75,60.0,NUCOFFEE,2011,"October 28th, 2011",Yellow Bourbon,Completed,,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,10.0,7.75,Sample  84.33,0 %,0 full defects,0.0,,4 full defects,"October 27th, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,meters,,
188,84.33,NUCOFFEE,Brazil,Fazenda Baipendi,,South Minas Gerais,Antônio Pelucio,80,60.0,NUCOFFEE,2011,"October 28th, 2011",,Completed,,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,10.0,7.92,Sample  84.33,2 %,0 full defects,0.0,,2 full defects,"October 27th, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,meters,900,1200
189,84.33,Benjamin Schmerler,Ethiopia,,,Limu (Southwest Ethiopia),Oromia Coffee Farmers Cooperative Union,1,59.874144,Specialty Coffee Association,,"June 14th, 2011",,Completed,,7.75,7.75,7.92,7.75,7.5,7.92,10.0,10.0,10.0,7.75,Sample  84.33,0 %,0 full defects,0.0,,1 full defects,"June 13th, 2012",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,feet,3600,6200
190,84.33,The Coffee Source Inc.,Guatemala,Las Minas,,Nuevo Oriente,Miguel Hernandez,250,1.0,Specialty Coffee Association,,"April 30th, 2010",,Completed,,7.5,7.67,7.75,7.67,7.92,7.92,10.0,10.0,10.0,7.92,Sample  84.33,4 %,1 full defects,0.0,,1 full defects,"April 30th, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,feet,4400,4700
191,84.25,"Lin, Che-Hao Krude 林哲豪",Taiwan,馨晴咖啡 Good Mood Coffee,Taiwan Coffee Laboratory,國姓鄉 Guoshing Township,黃美桃 Huang Mei Tao,10,5.0,Specialty Coffee Association,2016,"August 10th, 2017",Typica,Completed,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,7.67,Sample  84.25,12 %,0 full defects,0.0,Blue-Green,0 full defects,"August 10th, 2018",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1000,
192,84.25,松澤宏樹 Koju Matsuzawa,Thailand,Matsuzawa Coffee Farm,Matsuzawa Coffee,Chiang Rai THAILAND,Matsuzawa Coffee,20,25.0,Specialty Coffee Institute of Asia,2015,"November 2nd, 2016",Catimor,Completed,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,8.0,Sample  84.25,12 %,0 full defects,0.0,Green,0 full defects,"November 2nd, 2017",Specialty Coffee Institute of Asia,"3F, 259-1 Ulgiro-3-ga, Joong-gu, Seoul, South Korea, Zip code:100-847","Sung-Yong Steven Kil - 82-10-7912-1456-English, 82-2269-1456-Korean",meters,1200,
193,84.25,CARCAFE LTDA CI,Colombia,,CARCAFE LTDA CI,NARIÑO,JOSE ALBEIRO GOMEZ,275,70.0,Almacafé,2016,"August 5th, 2016",Caturra,Completed,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,7.83,Sample  84.25,11 %,0 full defects,0.0,Green,2 full defects,"August 5th, 2017",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,2560,
194,84.25,Juan Luis Alvarado Romero,Guatemala,FINCA MEDINA,"SIEMBRAS VISION, S.A.",ANTIGUA,FINCA MEDINA,230,69.0,Asociacion Nacional Del Café,2016,"May 23rd, 2016",Caturra,Completed,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,Sample  84.25,11 %,0 full defects,4.0,Green,4 full defects,"May 23rd, 2017",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,meters,1500,
195,84.25,Juan Luis Alvarado Romero,Guatemala,FINCA SAN VICENTE,"EXPORTCAFE, S.A.",HUEHUETENANGO,HORACIO CIFUENTES MARTINEZ,275,69.0,Asociacion Nacional Del Café,2015,"April 6th, 2016",Caturra,Completed,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,Sample  84.25,10 %,0 full defects,0.0,Green,1 full defects,"April 6th, 2017",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,3607,
196,84.25,Yunnan Coffee Exchange,China,Menglian County Nayun Town Mangzhang Coffee Farm,Yunnan Coffee Exchange,Yunnan Province Pu'er City Menglian County Nayun Town,Menglian County Nayun Town Mangzhang Coffee Farm,3,60.0,Yunnan Coffee Exchange,2015,"April 6th, 2016",Catimor,Completed,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.75,Sample  84.25,10 %,0 full defects,0.0,Green,1 full defects,"April 6th, 2017",Yunnan Coffee Exchange,"Warehouse of YCE, Chuangye Road, Munaihe Industrial Park, Pu'er Yunnan Province 665000",Zooey Li - +8608792891121,meters,1400,
197,84.25,Racafe & Cia S.C.A,Colombia,,Racafe & Cia S.C.A,Huila,La Plata,275,70.0,Almacafé,2015,"November 19th, 2015",Caturra,Completed,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,7.83,Sample  84.25,11 %,0 full defects,0.0,Green,3 full defects,"November 18th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,,
198,84.25,Racafe & Cia S.C.A,Colombia,,Racafe & Cia S.C.A,Huila,La Plata,248,70.0,Almacafé,2015,"October 26th, 2015",Caturra,Completed,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,10.0,7.75,Sample  84.25,12 %,4 full defects,0.0,Green,2 full defects,"October 25th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,,
199,84.25,Federacion Nacional de Cafeteros,Colombia,,Federacion Nacional de Cafeteros,Cauca,,275,2.0,Almacafé,,"June 5th, 2015",Other,Completed,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,10.0,7.83,Sample  84.25,12 %,0 full defects,0.0,Green,0 full defects,"June 4th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1800,
